"id","area","circularity","eccentricity","majorAxisLength","minoAxisLength","orientation","perimeter","spores"
1,261,0.609518530818563,0.49390097093937,28.5800577007489,11.9404882978852,1.26009606299485,63,0
2,249,0.996294391387361,0.00147243106777344,18.1464233881718,17.4629651814792,0.141727824467813,49,1
3,287,0.388691992335,0.22099826101276,31.0394804076588,18.6352594228692,1.13882322935165,81,0
4,302,0.535500776179552,0.158121753271722,28.2456664044594,18.5429792949587,1.12044657607586,73,0
5,145,0.66655462791701,0.0625118233257131,15.6883104928851,12.151806556342,1.05927311913806,42,0
6,133,0.587091424554101,0.0180310913789257,14.1170317884783,12.3330935362098,-1.33503755329682,42,1
7,128,0.557822169703812,0.28833481673273,17.8380054345513,9.79082476693969,0.930364237840399,44,0
8,30,0.60460879289828,0.217285533232754,8.39284409342947,5.06448979782515,1.35717052167066,18,0
9,129,0.813946898167374,0.0322288823594819,14.1369658050486,11.7905954310537,1.52169169286834,37,1
10,164,1.00814535799775,0.0197298102483376,15.5152989200235,13.4695133440562,-1.31594816361932,39,1
11,307,0.968533712160404,0.00663771836162255,20.6058369654598,18.9901648410867,0.733607786670306,54,1
12,80,0.892792310344316,0.239512960909234,13.3128218666777,7.79479146264401,0.388115396132333,29,0
13,203,0.963466209393135,0.0198156966225916,17.2710045804816,14.9890480080594,1.26148886205776,44,1
14,3,2.35619449019234,1,3.2659863237109,0,1.5707963267949,3,0
15,1,12.5663706143592,NA,0,0,0,1,0
16,236,0.602072135340346,0.661191577391205,30.8535559427381,9.90493735724113,-0.557899548924885,59,0
17,266,0.699803002792404,0.165086499264694,24.0672709190417,15.6374892478954,-0.117622362496099,60,0
18,3,3.23407250671588,0.25,2.3094010767585,1.33333333333333,0.785398163397448,3,0
19,3,3.23407250671588,0.25,2.3094010767585,1.33333333333333,0.785398163397448,3,0
20,209,0.708840826823116,0.140918278175298,20.5335882620471,13.8374467643773,0.0856436934004408,53,0
21,237,0.887124055661649,0.000875313747625688,17.667326991585,17.1521351178605,-1.15005650397156,48,1
22,2,6.28318530717959,1,2,0,0,2,0
23,78,0.870472502585708,0.0449630505734239,11.1693226350547,9.00571513625344,1.26360961597727,28,0
24,39,1.16785951631407,0.032164741883655,7.69505262941243,6.41905841905029,0.932972809378687,18,0
25,184,1.02671115689596,0.00739191393761285,15.9792142471104,14.6596634626752,0.774877092842449,40,1
26,828,0.376381212194215,0.735377771257814,68.4894136850079,18.9669734925184,-1.11496249895446,141,0
27,267,0.874506296082048,0.00237269382195725,18.9310617656937,18.0303268972154,0.0879019641375951,52,1
28,46,1.20531204853256,0.0210050627680984,8.19375100747738,7.08098349279216,1.26951518408876,19,0
29,325,0.701815929738009,0.207293017887822,26.6074872898297,16.2783108686662,-1.30221082497161,68,0
30,509,0.559599440039356,0.556185764291338,41.9838099856816,16.0211353383222,-1.30066512640821,92,0
31,3,1.61703625335794,0.8125,3.67708852834268,0.837402040213008,-0.491396861623665,3,0
32,51,0.611080234852711,0.18389128223663,10.6770037349607,6.75062868402942,1.01187479317939,25,0
33,165,0.97812062518511,0.013466527964583,15.3637857295164,13.6732672998953,-1.31755988344215,39,1
34,1,12.5663706143592,NA,0,0,0,1,0
35,1,12.5663706143592,NA,0,0,0,1,0
36,19,0.568957200255572,0.0634482051174143,6.95580809473639,5.37709332643265,1.32675499518917,16,0
37,139,0.505731371830677,0.000605740688467939,13.6883143608967,13.355465895795,-1.08419646011467,45,0
38,170,0.972451183814523,0.000571755336259218,14.9082462965371,14.555930977366,0.839610684689676,39,1
39,140,1.00694633718088,0.0563901804435844,15.0840850250417,11.8408223039984,0.0626847787652969,36,0
40,1,12.5663706143592,NA,0,0,0,1,0
41,275,0.648263795907416,0.46661217458852,29.4007837933583,12.7577202660109,0.614713349168664,61,0
42,209,0.904038151899842,0.0387454581036258,18.2330086362669,14.9362622679037,0.878732661738464,51,0
43,301,0.83477478847492,0.104990470057698,23.4950691401075,16.7878564773405,-1.54772850627701,64,0
44,203,0.963466209393135,0.012540003052642,17.0336800387055,15.2219546186181,1.37806697035596,44,1
45,669,0.518324418307563,0.686198343618238,54.0108550988905,16.5479564397221,-1.39205992099543,117,0
46,432,0.844346502849166,0.0707883084701042,27.133093422728,20.6586580433066,-0.69165965158314,69,0
47,609,0.525575832559634,0.597896261223538,47.6442864702798,17.0377786243541,1.36634889268004,107,0
48,107,0.760736998338574,0.0242208598608958,12.7722644296986,10.9175367347704,1.3517756424928,35,1
49,245,0.951937884410586,0.00543104829050214,18.3335666563584,17.0287675980997,0.42647064329714,49,1
50,7,0.471635573896066,0.591282229159441,7.3292756379036,2.64885116629527,-1.3922293215345,7,0
51,491,0.496319448904082,0.543469122155879,40.9807384068715,15.9391127029186,1.30894518002229,96,0
52,1,12.5663706143592,NA,0,0,0,1,0
53,122,0.839742529827445,0.152962977041214,15.6506506191246,10.354371408999,1.56030565364572,39,0
54,84,0.758145080476242,0.208859602512475,13.435186799522,8.20176799795847,1.09516441008647,34,0
55,314,0.470292141528803,0.123416866204172,26.376801140103,18.2753008772335,-0.929715463117926,78,0
56,219,0.933911998446835,0.0117348746617058,17.6336103685156,15.8164792765385,0.410741451622408,46,1
57,303,0.400558321447033,0.550386564723469,32.4338510558091,12.4853240732275,-1.2799192645684,78,0
58,5,1.34753021113162,0.555555555555556,4.09333818881354,1.56351606067884,1.48086957689866,5,0
59,3,2.35619449019234,1,3.2659863237109,0,1.5707963267949,3,0
60,10,0.387850944887629,1,11.4891252930761,0,1.5707963267949,10,0
61,25,0.380663682785469,0.680068194702835,12.7771749930127,3.96078264967055,-1.31778626694886,20,0
62,135,0.82103973991225,0.0235189043989827,14.2537485568417,12.2122757150923,0.667563104701972,38,1
63,6,0.643028701816817,0.917299710235727,7.0115240711604,1.02992835758637,1.34103862623722,6,0
64,1,12.5663706143592,NA,0,0,0,1,0
65,3,2.35619449019234,1,3.2659863237109,0,1.5707963267949,3,0
66,2,6.28318530717959,1,2,0,0,2,0
67,117,0.316252344262496,0.0553128501672585,14.2926427707958,11.2466683047783,-1.119647766831,49,1
68,1,12.5663706143592,NA,0,0,0,1,1
69,169,0.92952083951528,0.0800241806840069,16.9943311627389,12.7058698354124,-1.26530038523782,42,1
70,130,1.07567199490643,0.00280744280677248,13.1962339974698,12.5146068502125,1.5707963267949,34,1
71,19,1.1770161688565,0.14182563609243,6.00487001027462,4.04095877163496,-0.579707478048718,13,0
72,168,0.732141597736253,0.0255094758771061,15.9720016828613,13.5955313577761,-0.73096227218207,44,1
73,132,0.888282018759728,0.0437991933099012,14.4506055963933,11.6851100856531,-1.01678447546676,37,1
74,149,0.976040734952997,0.0922317091538013,16.1715692327817,11.8185198626858,0.310749080854693,38,0
75,1,12.5663706143592,NA,0,0,0,1,1
